code,p0,p1,p2,p3,p4,p5,p6
BT1-067,2,0,0,,,,
BT1-070,4,,,,,,
BT1-077,4,,,,,,
Bt1-078,1,,,,,,
Bt1-112,1,,,,,,
Bt2-050,2,,,,,,
Bt3-054,3,,,,,,
Bt6-038,1,,,,,,
Bt6-048,4,,,,,,
Bt7-045,6,,,,,,
Bt7-046,4,,,,,,
Bt7-047,4,,,,,,
Bt8-054,4,,,,,,
Bt9-004,1,,,,,,
Bt9-007,1,,,,,,
Bt9-019,1,,,,,,
Bt9-023,1,,,,,,
Bt9-045,1,,,,,,
Bt9-048,1,,,,,,
Bt9-058,1,,,,,,
Bt9-060,1,,,,,,
Bt9-070,1,,,,,,
Bt9-091,1,,,,,,
Bt9-102,1,,,,,,
Bt10-002,1,,,,,,
Bt10-003,1,,,,,,
Bt10-004,4,,,,,,
Bt10-017,2,,,,,,
Bt10-018,2,,,,,,
Bt10-021,1,,,,,,
Bt10-022,2,,,,,,
Bt10-029,2,,,,,,
Bt10-031,2,,,,,,
Bt10-033,2,,,,,,
Bt10-034,2,,,,,,
Bt10-036,3,,,,,,
Bt10-037,3,,,,,,
Bt10-039,1,,,,,,
Bt10-043,1,,,,,,
Bt10-049,2,,,,,,
Bt10-050,3,,,,,,
Bt10-055,1,,,,,,
Bt10-100,2,,,,,,
Bt10-098,2,,,,,,
Bt10-105,2,,,,,,
Bt10-109,1,,,,,,
Bt11-103,1,,,,,,
Bt11-021,,,,,,,
